filename,noise_variance
4353.png,10886.226824337824
5511.png,9899.594493899864
2664.png,11115.698852006111
2539.png,13903.029192523174
5703.png,14567.573980732
1231.png,1391.8159632112192
1017.png,14825.477526641265
4803.png,5521.131782085031
2437.png,7430.967034040279
3217.png,8813.65714769405
5695.png,14576.633084456449
5106.png,12567.184161592806
5590.png,10188.38955705249
3207.png,5606.43123634396
2015.png,10788.931338217248
2300.png,11352.474246806085
2673.png,8835.615520556474
2823.png,11388.327558698891
3765.png,1659.6476532318231
1522.png,11704.445964163175
4747.png,8284.552206021368
3824.png,5984.222376456836
4358.png,11603.192307292453
2064.png,11845.351300708606
641.png,15168.274450839715
1088.png,15259.855224582909
173.png,13056.060025646071
5100.png,12377.936376474387
2851.png,14939.12125860803
2448.png,8766.601495408411
1746.png,6135.594765591896
1958.png,8702.946448857909
1479.png,14933.37076753519
815.png,8883.735119976625
4352.png,10565.593583111124
3448.png,11802.718378700834
1794.png,9603.4358638353
1727.png,9142.071117051511
1684.png,7450.422928918961
4685.png,11537.448629062294
4649.png,15215.301178787257
5184.png,12154.305332138403
1814.png,15205.045648255318
491.png,9566.289871087198
2982.png,9320.62067875567
2276.png,11612.93195194536
1457.png,14613.3216498525
3152.png,11480.821117281808
4319.png,10905.39271524078
1924.png,15248.651268750114
4805.png,10334.754356233763
1084.png,9751.280026320834
5109.png,14549.913691858063
718.png,15229.186028092712
3722.png,9441.268062427442
709.png,14958.611558614808
2690.png,12402.749425543294
889.png,8659.465313142846
379.png,10893.547998442258
780.png,11008.616348428048
3244.png,8955.307261439115
248.png,15364.699774102959
5073.png,8137.901777205794
1680.png,4674.88145973901
1675.png,10521.449868766827
2619.png,12318.707820915339
4023.png,6302.389354079726
2273.png,8577.907237385412
4800.png,11224.792433623552
5028.png,12261.62506161398
94.png,11825.62832531708
2969.png,12961.728587971367
3379.png,11629.929738980274
2772.png,10527.830877822787
480.png,8437.642222965143
3550.png,10279.206315454008
5567.png,9698.686014977862
2256.png,14880.024630262666
5918.png,15215.290290283387
1145.png,9457.568444640481
3295.png,9848.802410309552
5950.png,11927.295261964637
2021.png,10640.267022050872
1944.png,8583.608607580616
3569.png,11152.450833828685
3685.png,7184.240406774854
236.png,14939.67542673265
3890.png,8052.912699279835
1012.png,10547.314118084028
2970.png,12120.657134800324
2518.png,15221.697054138365
2176.png,11885.139649442197
1343.png,13193.828636983444
2347.png,14085.223158486699
771.png,12386.052103883736
2884.png,14886.943210052963
4770.png,7952.957352171197
2631.png,12114.180029661531
675.png,15238.305361612285
340.png,14614.122745433777
48.png,9813.869635530104
3952.png,12968.231405745115
2525.png,14820.552363457395
3012.png,8247.824024765874
1948.png,11288.527678952276
4518.png,9282.80357171686
1878.png,15154.755638819583
2211.png,12089.656396989789
513.png,2433.7413208182443
2947.png,6682.639892469191
3917.png,8219.004548544626
2976.png,8470.597213359462
3510.png,12804.028065664013
1037.png,10882.654455018266
4511.png,10591.624459526838
677.png,14965.219981129807
5593.png,13062.838970811841
350.png,14805.835345544061
2009.png,8668.281164634347
761.png,12062.95067697346
1258.png,9040.865772428739
3362.png,11067.377527665834
4792.png,11750.828090517314
4916.png,11349.682419301495
2565.png,8663.651447986316
3363.png,11095.299192593824
314.png,14614.069389780125
5197.png,10102.278386295635
3544.png,10807.623234058552
1023.png,12183.015792849945
5595.png,7769.983212117398
1337.png,11311.473546545629
655.png,14916.484787927724
227.png,14212.022614409949
5816.png,11259.886943543162
762.png,11236.878955385557
2803.png,11012.935243182954
726.png,15295.488846221759
2199.png,11614.359766075386
5858.png,9057.207951375494
5543.png,12164.135161073838
1630.png,11059.726810930093
5898.png,15220.033705472335
5831.png,12438.72558318377
2920.png,5946.571483411445
238.png,14854.69890478289
3728.png,8996.698293134848
3070.png,12229.734714745806
61.png,6069.612571723523
2731.png,12769.169106866962
377.png,12257.663312814359
5391.png,9815.694255951914
4554.png,14953.24983320378
4418.png,10809.67089247324
1961.png,11506.093210647909
1798.png,5162.767325228968
4864.png,9285.513974287338
2324.png,9245.966626382326
581.png,10068.628082646506
1782.png,7569.864228983273
222.png,7460.510866680218
330.png,11626.490775295464
5038.png,11984.682198376533
2742.png,12968.101801237422
511.png,1984.7340539900374
579.png,10557.571148719466
5957.png,11898.973926911127
4127.png,11964.489965840392
278.png,11088.8322522908
4236.png,13814.41406505447
2146.png,11988.77994595537
1863.png,15227.88616400145
927.png,12842.783566675218
303.png,11704.71556835211
3921.png,8185.271845220096
37.png,11973.682243458803
231.png,13849.68968506322
1048.png,9875.59320664721
2367.png,12003.917097812726
2559.png,9887.202725105679
5908.png,15206.510649861333
645.png,14880.701900262904
2270.png,11676.135906913843
1703.png,7419.284212376165
348.png,6506.0639781701675
5731.png,10075.166537744462
3959.png,10844.795240894928
5501.png,9848.19707925936
5802.png,9313.61350667115
3372.png,7943.518938300174
4444.png,9770.130153680602
5620.png,9929.774144680689
4326.png,10272.733746044318
449.png,8619.505171117202
3960.png,9923.619502813008
3602.png,10770.602231936084
2718.png,11979.442624652234
5629.png,14605.743640907558
5378.png,10839.333212868296
3924.png,11702.869968487928
5468.png,9207.15572777341
4303.png,10797.731742563352
2779.png,10343.880829163132
4738.png,11340.092444669093
353.png,12238.12158581006
4463.png,10438.448286624713
3777.png,9935.113643646584
5694.png,14865.662079123666
4869.png,14902.02587259152
2645.png,8330.734573145231
3539.png,10577.738956885496
3884.png,8614.311440558358
5414.png,8330.460642402686
5461.png,11980.177824292969
3375.png,9091.299113997424
3770.png,10907.58425757881
621.png,2024.2866707944893
5422.png,9535.150681937774
2134.png,14861.346700663318
3351.png,8526.25274346966
5361.png,12481.749621810375
5518.png,8877.231040931178
