filename,noise_variance,noise_type
4353.png,10886.226824337824,Gaussian
5511.png,9899.594493899864,Other Noise
2664.png,11115.698852006111,Gaussian
2539.png,13903.029192523174,Gaussian
5703.png,14567.573980732,Gaussian
1231.png,1391.8159632112192,Other Noise
1017.png,14825.477526641265,Gaussian
4803.png,5521.131782085031,Other Noise
2437.png,7430.967034040279,Other Noise
3217.png,8813.65714769405,Other Noise
5695.png,14576.633084456449,Gaussian
5106.png,12567.184161592806,Gaussian
5590.png,10188.38955705249,Gaussian
3207.png,5606.43123634396,Other Noise
2015.png,10788.931338217248,Gaussian
2300.png,11352.474246806085,Gaussian
2673.png,8835.615520556474,Other Noise
2823.png,11388.327558698891,Gaussian
3765.png,1659.6476532318231,Other Noise
1522.png,11704.445964163175,Gaussian
4747.png,8284.552206021368,Other Noise
3824.png,5984.222376456836,Other Noise
4358.png,11603.192307292453,Gaussian
2064.png,11845.351300708606,Gaussian
641.png,15168.274450839715,Gaussian
1088.png,15259.855224582909,Gaussian
173.png,13056.060025646071,Gaussian
5100.png,12377.936376474387,Gaussian
2851.png,14939.12125860803,Gaussian
2448.png,8766.601495408411,Other Noise
1746.png,6135.594765591896,Other Noise
1958.png,8702.946448857909,Other Noise
1479.png,14933.37076753519,Gaussian
815.png,8883.735119976625,Other Noise
4352.png,10565.593583111124,Gaussian
3448.png,11802.718378700834,Gaussian
1794.png,9603.4358638353,Other Noise
1727.png,9142.071117051511,Other Noise
1684.png,7450.422928918961,Other Noise
4685.png,11537.448629062294,Gaussian
4649.png,15215.301178787257,Gaussian
5184.png,12154.305332138403,Gaussian
1814.png,15205.045648255318,Gaussian
491.png,9566.289871087198,Other Noise
2982.png,9320.62067875567,Other Noise
2276.png,11612.93195194536,Gaussian
1457.png,14613.3216498525,Gaussian
3152.png,11480.821117281808,Gaussian
4319.png,10905.39271524078,Gaussian
1924.png,15248.651268750114,Gaussian
4805.png,10334.754356233763,Gaussian
1084.png,9751.280026320834,Other Noise
5109.png,14549.913691858063,Gaussian
718.png,15229.186028092712,Gaussian
3722.png,9441.268062427442,Other Noise
709.png,14958.611558614808,Gaussian
2690.png,12402.749425543294,Gaussian
889.png,8659.465313142846,Other Noise
379.png,10893.547998442258,Gaussian
780.png,11008.616348428048,Gaussian
3244.png,8955.307261439115,Other Noise
248.png,15364.699774102959,Gaussian
5073.png,8137.901777205794,Other Noise
1680.png,4674.88145973901,Other Noise
1675.png,10521.449868766827,Gaussian
2619.png,12318.707820915339,Gaussian
4023.png,6302.389354079726,Other Noise
2273.png,8577.907237385412,Other Noise
4800.png,11224.792433623552,Gaussian
5028.png,12261.62506161398,Gaussian
94.png,11825.62832531708,Gaussian
2969.png,12961.728587971367,Gaussian
3379.png,11629.929738980274,Gaussian
2772.png,10527.830877822787,Gaussian
480.png,8437.642222965143,Other Noise
3550.png,10279.206315454008,Gaussian
5567.png,9698.686014977862,Other Noise
2256.png,14880.024630262666,Gaussian
5918.png,15215.290290283387,Gaussian
1145.png,9457.568444640481,Other Noise
3295.png,9848.802410309552,Other Noise
5950.png,11927.295261964637,Gaussian
2021.png,10640.267022050872,Gaussian
1944.png,8583.608607580616,Other Noise
3569.png,11152.450833828685,Gaussian
3685.png,7184.240406774854,Other Noise
236.png,14939.67542673265,Gaussian
3890.png,8052.912699279835,Other Noise
1012.png,10547.314118084028,Gaussian
2970.png,12120.657134800324,Gaussian
2518.png,15221.697054138365,Gaussian
2176.png,11885.139649442197,Gaussian
1343.png,13193.828636983444,Gaussian
2347.png,14085.223158486699,Gaussian
771.png,12386.052103883736,Gaussian
2884.png,14886.943210052963,Gaussian
4770.png,7952.957352171197,Other Noise
2631.png,12114.180029661531,Gaussian
675.png,15238.305361612285,Gaussian
340.png,14614.122745433777,Gaussian
48.png,9813.869635530104,Other Noise
3952.png,12968.231405745115,Gaussian
2525.png,14820.552363457395,Gaussian
3012.png,8247.824024765874,Other Noise
1948.png,11288.527678952276,Gaussian
4518.png,9282.80357171686,Other Noise
1878.png,15154.755638819583,Gaussian
2211.png,12089.656396989789,Gaussian
513.png,2433.7413208182443,Other Noise
2947.png,6682.639892469191,Other Noise
3917.png,8219.004548544626,Other Noise
2976.png,8470.597213359462,Other Noise
3510.png,12804.028065664013,Gaussian
1037.png,10882.654455018266,Gaussian
4511.png,10591.624459526838,Gaussian
677.png,14965.219981129807,Gaussian
5593.png,13062.838970811841,Gaussian
350.png,14805.835345544061,Gaussian
2009.png,8668.281164634347,Other Noise
761.png,12062.95067697346,Gaussian
1258.png,9040.865772428739,Other Noise
3362.png,11067.377527665834,Gaussian
4792.png,11750.828090517314,Gaussian
4916.png,11349.682419301495,Gaussian
