filename,noise_type
4353.png,Other noise
5511.png,Other noise
2664.png,Other noise
2539.png,Other noise
5703.png,Other noise
1231.png,Poisson noise
1017.png,Other noise
4803.png,Other noise
2437.png,Other noise
3217.png,Other noise
5695.png,Other noise
5106.png,Other noise
5590.png,Other noise
3207.png,Poisson noise
2015.png,Other noise
2300.png,Other noise
2673.png,Other noise
2823.png,Other noise
3765.png,Poisson noise
1522.png,Other noise
4747.png,Other noise
3824.png,Other noise
4358.png,Other noise
2064.png,Other noise
641.png,Other noise
1088.png,Other noise
173.png,Other noise
5100.png,Other noise
2851.png,Other noise
2448.png,Other noise
1746.png,Other noise
1958.png,Other noise
1479.png,Other noise
815.png,Other noise
4352.png,Other noise
3448.png,Other noise
1794.png,Other noise
1727.png,Other noise
1684.png,Other noise
4685.png,Other noise
4649.png,Other noise
5184.png,Other noise
1814.png,Other noise
491.png,Other noise
2982.png,Other noise
2276.png,Other noise
1457.png,Other noise
3152.png,Other noise
4319.png,Other noise
1924.png,Other noise
4805.png,Other noise
1084.png,Other noise
5109.png,Other noise
718.png,Other noise
3722.png,Other noise
709.png,Other noise
2690.png,Other noise
889.png,Other noise
379.png,Other noise
780.png,Other noise
3244.png,Other noise
248.png,Other noise
5073.png,Other noise
1680.png,Poisson noise
1675.png,Other noise
2619.png,Other noise
4023.png,Poisson noise
2273.png,Other noise
4800.png,Other noise
5028.png,Other noise
94.png,Other noise
2969.png,Other noise
3379.png,Other noise
2772.png,Other noise
480.png,Other noise
3550.png,Other noise
5567.png,Other noise
2256.png,Other noise
5918.png,Other noise
1145.png,Other noise
3295.png,Other noise
5950.png,Other noise
2021.png,Other noise
1944.png,Other noise
3569.png,Other noise
3685.png,Other noise
236.png,Other noise
3890.png,Other noise
1012.png,Other noise
2970.png,Other noise
2518.png,Other noise
2176.png,Other noise
1343.png,Other noise
2347.png,Other noise
771.png,Other noise
2884.png,Other noise
4770.png,Other noise
2631.png,Other noise
675.png,Other noise
340.png,Other noise
48.png,Other noise
3952.png,Other noise
2525.png,Other noise
3012.png,Other noise
1948.png,Other noise
4518.png,Other noise
1878.png,Other noise
2211.png,Other noise
513.png,Poisson noise
2947.png,Poisson noise
3917.png,Other noise
2976.png,Other noise
3510.png,Other noise
1037.png,Other noise
4511.png,Other noise
677.png,Other noise
5593.png,Other noise
350.png,Other noise
2009.png,Other noise
761.png,Other noise
1258.png,Other noise
3362.png,Other noise
4792.png,Other noise
4916.png,Other noise
2565.png,Other noise
3363.png,Other noise
314.png,Other noise
5197.png,Other noise
3544.png,Other noise
1023.png,Other noise
5595.png,Other noise
1337.png,Other noise
655.png,Other noise
227.png,Other noise
5816.png,Other noise
762.png,Other noise
2803.png,Other noise
726.png,Other noise
2199.png,Other noise
5858.png,Other noise
5543.png,Other noise
1630.png,Other noise
5898.png,Other noise
5831.png,Other noise
2920.png,Other noise
238.png,Other noise
3728.png,Other noise
3070.png,Other noise
61.png,Poisson noise
2731.png,Other noise
377.png,Other noise
5391.png,Other noise
4554.png,Other noise
4418.png,Other noise
1961.png,Other noise
1798.png,Other noise
4864.png,Other noise
2324.png,Poisson noise
581.png,Other noise
1782.png,Other noise
222.png,Other noise
330.png,Other noise
5038.png,Other noise
2742.png,Other noise
511.png,Poisson noise
579.png,Other noise
5957.png,Other noise
4127.png,Other noise
278.png,Other noise
4236.png,Other noise
2146.png,Other noise
1863.png,Other noise
927.png,Other noise
303.png,Other noise
3921.png,Other noise
37.png,Other noise
231.png,Other noise
1048.png,Other noise
2367.png,Other noise
2559.png,Other noise
5908.png,Other noise
645.png,Other noise
2270.png,Other noise
1703.png,Other noise
348.png,Other noise
5731.png,Other noise
3959.png,Other noise
5501.png,Other noise
